T1A	T1B	T1C	T2A	T2B	T2C	T3A	T3B	T3C	T4A	T4B	T4C	T5A	T5B	T5C	T6A	T6B	T6C	T7A	T7B	T7C	T8A	T8B	T8C	tax	
21921	27166	21612	25423	34328	38101	47172	30110	42885	34652	25232	32202	25003	23437	33537	32148	35374	29257	35738	26162	35402	31004	26763	23651	Clostridium_thermocellum_1	1796774
11352	17924	16440	6423	8437	13351	18821	10067	13463	11617	12129	12855	9905	10870	14943	11975	16777	14548	17537	12566	16099	18614	16002	15354	Coprothermobacter_protelyticus_1	311965
10704	12491	12079	5182	6935	9158	11590	6473	10395	7491	5513	6596	4061	4947	6889	5981	6901	5409	6162	4611	11082	4679	4097	3544	Tepidimicrobium_xylanilyticum_1	312984
2732	5469	5255	1895	2645	3211	5372	2861	4150	2534	3406	3692	2618	4702	4345	5217	7293	4744	6005	5794	2287	5570	6770	6981	Clostridium_uncultured	3483093
404	405	380	262	441	426	708	502	694	572	401	519	370	473	676	535	459	502	601	575	532	575	631	687	Coprothermobacter_protelyticus_2	272967
227	318	302	653	719	919	2939	1697	2680	2115	1703	1684	1078	1332	2466	1717	2324	1934	2023	1765	1123	1900	1645	1619	Tepidanaerobacter_acetatoxydans_1	733401
213	303	278	113	165	211	271	173	219	187	201	239	179	194	245	247	274	259	305	229	298	319	233	274	Coprothermobacter_protelyticus_3	639729
115	149	101	101	201	200	241	161	209	159	129	174	129	129	185	165	183	157	185	139	194	164	134	106	Clostridium_thermocellum_2	249129
85	139	75	119	161	180	240	144	225	165	114	135	143	100	165	159	139	128	188	120	143	125	139	98	Clostridium_thermocellum_3	81208
62	67	62	67	51	54	58	28	58	38	24	37	33	33	49	43	42	34	39	23	59	40	16	22	Tepidimicrobium_xylanilyticum_2	244503
46	54	75	60	122	120	615	166	382	335	243	165	82	62	51	3	12	20	5	4	21	10	3	5	Methanothermobacter_Thermautotrophicus	369183
32	56	45	155	125	172	428	297	394	289	196	205	200	145	349	254	295	257	297	218	161	198	179	156	Tepidanaerobacter_acetatoxydans_2	701453
28	38	35	11	19	16	31	26	13	10	21	25	23	32	32	22	36	39	29	23	28	44	33	35	Coprothermobacter_protelyticus_4	153803
