Time	replicate	W_empty	SpuceAdded	W_beforeAcid	W_afterAcid	Difference	Consumed
T0	Cell1	12.951	0.600	13.551	13.457	0.094	15.67
T0	Cell2	12.901	0.600	13.501	14.066	-0.565	-94.17
T1	Cell1	12.990	0.600	13.590	13.513	0.077	12.83
T1	Cell2	12.928	0.600	13.528	13.446	0.082	13.67
T2	Cell1	12.957	0.600	13.557	13.387	0.170	28.33
T2	Cell2	12.969	0.600	13.569	13.408	0.161	26.83
T3	Cell1	12.998	0.600	13.598	13.311	0.287	47.83
T3	Cell2	12.959	0.600	13.559	13.257	0.302	50.33
T4	Cell1	13.100	0.600	13.700	13.247	0.453	75.50
T4	Cell2	12.992	0.600	13.592	13.132	0.460	76.67
T5	Cell1	12.985	0.600	13.585	13.09	0.495	82.50
T5	Cell2	12.898	0.600	13.498	13.023	0.475	79.17
T6	Cell1	12.902	0.600	13.502	12.943	0.559	93.15
T6	Cell2	12.958	0.600	13.558	13.008	0.550	91.67
T7	Cell1	12.956	0.600	13.556	12.976	0.580	96.67
T7	Cell2	13.034	0.600	13.634	13.055	0.579	96.50
T8	Cell1	12.972	0.600	13.572	12.984	0.588	98.00
T8	Cell2	12.953	0.600	13.553	12.968	0.585	97.50
